,54.37,54.37.XL,SM.54.26,SM.54.28,SM.54.45,SM.54.45.XL,52.42,52.42.XL,52.81,52.97,LP.22.20,LP.22.48,LP.22.48.XL,LP.22.50,LP.22.54,LP.22.54.XL,SM.52.91,NL.2,NL.2.XL,total_count
ID=maker-353_pilon-augustus-gene-77.133;Name=maker-353_pilon-augustus-gene-77.133,,,,,,,,1,,1,,,,,1,,,,,3
ID=augustus-353_pilon-processed-gene-80.104;Name=augustus-353_pilon-processed-gene-80.104,,,,,,,,1,,,,1,1,1,,,,1,1,6
ID=snap-71019_pilon-processed-gene-0.89;Name=snap-71019_pilon-processed-gene-0.89,,,,,,,,1,,,,1,,,,,1,,,3
ID=augustus_masked-265_pilon-processed-gene-11.71;Name=augustus_masked-265_pilon-processed-gene-11.71,,,,,,,,1,,,,1,1,,,,1,1,,5
ID=augustus-303_pilon-processed-gene-5.6;Name=augustus-303_pilon-processed-gene-5.6,,,,,,,,1,,1,,1,1,,,,1,,,5
ID=snap_masked-303_pilon-processed-gene-19.53;Name=snap_masked-303_pilon-processed-gene-19.53,,,,,,,,1,,,,,,,,,,,,1
ID=maker-825_pilon-augustus-gene-7.31;Name=maker-825_pilon-augustus-gene-7.31,,,,,,,,1,,,,,1,,,,1,,,3
ID=maker-825_pilon-augustus-gene-8.87;Name=maker-825_pilon-augustus-gene-8.87,,,,,,,,1,1,,,,,,1,1,,,,4
ID=augustus-744_pilon-processed-gene-1.81;Name=augustus-744_pilon-processed-gene-1.81,,,,,,,,1,,1,,,,1,,,,,,3
ID=augustus-477_pilon-processed-gene-14.71;Name=augustus-477_pilon-processed-gene-14.71,,,,,,,,1,,,,,,,,,,,,1
ID=maker-872_pilon-snap-gene-1.26;Name=maker-872_pilon-snap-gene-1.26,,,,,,,,1,,,,1,,1,1,,1,,,5
ID=maker-384_pilon-augustus-gene-24.38;Name=maker-384_pilon-augustus-gene-24.38,,,,,,,,1,1,,,,,,,,,,,2
ID=augustus-769_pilon-processed-gene-1.24;Name=augustus-769_pilon-processed-gene-1.24,,,,,,,,1,,1,,,,,,,,,,2
ID=maker-984_pilon-exonerate_protein2genome-gene-2.38;Name=maker-984_pilon-exonerate_protein2genome-gene-2.38,,,,,,,,,1,1,,,,,,1,,,,3
ID=augustus-996_pilon-processed-gene-0.43;Name=augustus-996_pilon-processed-gene-0.43,,,,,,,,,1,,,,1,,,1,,,,3
ID=maker-380_pilon-exonerate_est2genome-gene-3.6;Name=maker-380_pilon-exonerate_est2genome-gene-3.6,,,,,,,,,1,1,,,,,1,1,,,,4
ID=snap_masked-645_pilon-processed-gene-2.79;Name=snap_masked-645_pilon-processed-gene-2.79,,,,,,,,,1,1,,,,,1,1,,,,4
ID=maker-377_pilon-augustus-gene-30.63;Name=maker-377_pilon-augustus-gene-30.63,,,,,,,,,1,,,,,,,1,,,,2
ID=augustus-377_pilon-processed-gene-40.76;Name=augustus-377_pilon-processed-gene-40.76,,,,,,,,,1,,,,,1,,,1,,,3
ID=maker-428_pilon-augustus-gene-14.43;Name=maker-428_pilon-augustus-gene-14.43,,,,,,,,,1,1,,,,,1,,,,1,4
ID=augustus-268_pilon-processed-gene-67.73;Name=augustus-268_pilon-processed-gene-67.73,,,,,,,,,1,1,1,,,,1,1,,1,1,7
ID=evm-445_pilon-processed-gene-59.59;Name=evm-445_pilon-processed-gene-59.59,,,,,,,,,1,,,,,1,1,1,1,1,1,7
ID=snap-445_pilon-processed-gene-66.34;Name=snap-445_pilon-processed-gene-66.34,,,,,,,,,1,1,,,1,1,1,,,,,5
ID=snap_masked-445_pilon-processed-gene-89.13;Name=snap_masked-445_pilon-processed-gene-89.13,,,,,,,,,1,,1,,,1,1,1,,,,5
ID=snap-920_pilon-processed-gene-50.44;Name=snap-920_pilon-processed-gene-50.44,,,,,,,,,1,1,1,,,1,1,1,,,,6
ID=maker-567_pilon-exonerate_est2genome-gene-1.42;Name=maker-567_pilon-exonerate_est2genome-gene-1.42,,,,,,,,,1,,,,,,1,1,,1,1,5
ID=maker-518_pilon-snap-gene-10.94;Name=maker-518_pilon-snap-gene-10.94,,,,,,,,,1,,,,,,1,,,,,2
ID=snap-215_pilon-processed-gene-15.35;Name=snap-215_pilon-processed-gene-15.35,,,,,,,,,1,1,1,,,,1,1,1,,,6
ID=snap-215_pilon-processed-gene-9.13;Name=snap-215_pilon-processed-gene-9.13,,,,,,,,,1,1,,,,,,1,1,,,4
ID=augustus-375_pilon-processed-gene-25.73;Name=augustus-375_pilon-processed-gene-25.73,,,,,,,,,1,,,1,1,,1,1,,,,5
ID=maker-648_pilon-snap-gene-1.79;Name=maker-648_pilon-snap-gene-1.79,,,,,,,,,1,,,,,,1,1,,,,3
ID=augustus_masked-73771_pilon-abinit-gene-0.82;Name=augustus_masked-73771_pilon-abinit-gene-0.82;score=0.03;target_length=160842,,,,,,,,,1,,,,,,,1,,,,2
ID=snap-718_pilon-processed-gene-1.10;Name=snap-718_pilon-processed-gene-1.10,,,,,,,,,1,1,,1,1,,,,,,,4
ID=snap-368_pilon-processed-gene-2.31;Name=snap-368_pilon-processed-gene-2.31,,,,,,,,,1,1,,,1,,1,,1,1,1,7
ID=augustus_masked-368_pilon-processed-gene-4.86;Name=augustus_masked-368_pilon-processed-gene-4.86,,,,,,,,,1,1,1,,,,1,,1,,,5
ID=augustus-74557_pilon-processed-gene-0.14;Name=augustus-74557_pilon-processed-gene-0.14,,,,,,,,,1,,1,,,,,,,1,,3
ID=snap-372_pilon-processed-gene-0.35;Name=snap-372_pilon-processed-gene-0.35,,,,,,,,,1,,,,1,,1,1,,,,4
ID=augustus-372_pilon-processed-gene-3.51;Name=augustus-372_pilon-processed-gene-3.51,,,,,,,,,1,1,,1,1,,,1,1,,,6
ID=snap-692_pilon-processed-gene-2.118;Name=snap-692_pilon-processed-gene-2.118,,,,,,,,,1,,,,,,1,1,1,,,4
ID=maker-216_pilon-augustus-gene-37.58;Name=maker-216_pilon-augustus-gene-37.58,,,,,,,,,1,,1,,1,1,1,1,,1,1,8
ID=augustus-328_pilon-processed-gene-13.18;Name=augustus-328_pilon-processed-gene-13.18,,,,,,,,,1,1,,1,,,1,1,1,,,6
ID=snap-328_pilon-processed-gene-14.101;Name=snap-328_pilon-processed-gene-14.101,,,,,,,,,1,1,,,,,1,1,1,,,5
ID=augustus-328_pilon-processed-gene-14.5;Name=augustus-328_pilon-processed-gene-14.5,,,,,,,,,1,,,,,,1,1,1,,,4
ID=snap-838_pilon-processed-gene-15.51;Name=snap-838_pilon-processed-gene-15.51,,,,,,,,,1,,,,,,,1,,1,1,4
ID=snap_masked-635_pilon-processed-gene-10.41;Name=snap_masked-635_pilon-processed-gene-10.41,,,,,,,,,1,,,,,,,,,,,1
ID=maker-299_pilon-snap-gene-16.130;Name=maker-299_pilon-snap-gene-16.130,,,,,,,,,1,1,,1,,,1,1,,1,,6
ID=augustus_masked-299_pilon-processed-gene-26.63;Name=augustus_masked-299_pilon-processed-gene-26.63,,,,,,,,,1,,,,,,1,1,,,,3
ID=snap-450_pilon-processed-gene-8.85;Name=snap-450_pilon-processed-gene-8.85,,,,,,,,,1,1,,,,,1,1,,,,4
ID=evm-450_pilon-processed-gene-10.11;Name=evm-450_pilon-processed-gene-10.11,,,,,,,,,1,,,,,1,1,,1,,,4
ID=augustus_masked-639_pilon-processed-gene-10.4;Name=augustus_masked-639_pilon-processed-gene-10.4,,,,,,,,,1,1,,,,,1,1,,,,4
ID=maker-345_pilon-augustus-gene-42.1;Name=maker-345_pilon-augustus-gene-42.1,,,,,,,,,1,1,,,1,1,,1,1,,,6
ID=maker-345_pilon-snap-gene-146.13;Name=maker-345_pilon-snap-gene-146.13,,,,,,,,,1,,,,,,1,1,1,,,4
ID=maker-316_pilon-augustus-gene-40.0;Name=maker-316_pilon-augustus-gene-40.0,,,,,,,,,1,,,,,,,,,1,,2
ID=maker-267_pilon-exonerate_protein2genome-gene-4.36;Name=maker-267_pilon-exonerate_protein2genome-gene-4.36,,,,,,,,,1,,,,,,,,1,,,2
ID=maker-464_pilon-exonerate_protein2genome-gene-6.35;Name=maker-464_pilon-exonerate_protein2genome-gene-6.35,,,,,,,,,1,,1,,,,,1,,,,3
ID=snap_masked-464_pilon-processed-gene-8.50;Name=snap_masked-464_pilon-processed-gene-8.50,,,,,,,,,1,1,,,,,1,1,,,,4
ID=snap-464_pilon-processed-gene-8.56;Name=snap-464_pilon-processed-gene-8.56,,,,,,,,,1,1,,,,,1,1,,1,,5
ID=maker-817_pilon-snap-gene-1.23;Name=maker-817_pilon-snap-gene-1.23,,,,,,,,,1,,,,,,,,,,,1
ID=maker-770_pilon-snap-gene-7.7;Name=maker-770_pilon-snap-gene-7.7,,,,,,,,,1,,,,,,,,,,,1
ID=maker-770_pilon-exonerate_est2genome-gene-7.32;Name=maker-770_pilon-exonerate_est2genome-gene-7.32,,,,,,,,,1,,,,,,,,,,,1
ID=augustus-348_pilon-processed-gene-18.87;Name=augustus-348_pilon-processed-gene-18.87,,,,,,,,,1,,1,,,1,1,1,,,,5
ID=maker-348_pilon-augustus-gene-22.84;Name=maker-348_pilon-augustus-gene-22.84,,,,,,,,,1,,,,,,1,1,,,,3
ID=maker-772_pilon-exonerate_protein2genome-gene-13.33;Name=maker-772_pilon-exonerate_protein2genome-gene-13.33,,,,,,,,,1,,,1,1,,1,,1,,,5
ID=augustus-537_pilon-processed-gene-1.95;Name=augustus-537_pilon-processed-gene-1.95,,,,,,,,,1,1,,,,,1,1,,,,4
ID=maker-449_pilon-snap-gene-6.81;Name=maker-449_pilon-snap-gene-6.81,,,,,,,,,1,,,,,,,,,,,1
ID=maker-457_pilon-snap-gene-13.102;Name=maker-457_pilon-snap-gene-13.102,,,,,,,,,1,,,,,1,1,1,,1,1,6
ID=snap-359_pilon-processed-gene-1.54;Name=snap-359_pilon-processed-gene-1.54,,,,,,,,,1,,,1,1,,,,,,,3
ID=augustus-266_pilon-processed-gene-41.69;Name=augustus-266_pilon-processed-gene-41.69,,,,,,,,,1,1,,,,1,1,1,,,,5
ID=snap-266_pilon-processed-gene-95.11;Name=snap-266_pilon-processed-gene-95.11,,,,,,,,,1,1,,,,,,,,,,2
ID=snap-266_pilon-processed-gene-98.26;Name=snap-266_pilon-processed-gene-98.26,,,,,,,,,1,1,,,,,1,1,,,,4
ID=maker-789_pilon-augustus-gene-3.54;Name=maker-789_pilon-augustus-gene-3.54,,,,,,,,,1,1,,,,,1,1,,,,4
ID=evm-871_pilon-processed-gene-0.0;Name=evm-871_pilon-processed-gene-0.0,,,,,,,,,1,,,,,,1,,,,,2
ID=maker-440_pilon-snap-gene-5.140;Name=maker-440_pilon-snap-gene-5.140,,,,,,,,,1,1,,,,,1,1,,,,4
ID=snap-374_pilon-processed-gene-3.78;Name=snap-374_pilon-processed-gene-3.78,,,,,,,,,1,,,,,,1,1,,,1,4
ID=augustus-357_pilon-processed-gene-1.11;Name=augustus-357_pilon-processed-gene-1.11,,,,,,,,,1,1,1,,,1,1,1,,1,,7
ID=maker-352_pilon-augustus-gene-20.114;Name=maker-352_pilon-augustus-gene-20.114,,,,,,,,,1,1,,,,,1,1,,,,4
ID=maker-695_pilon-snap-gene-3.2;Name=maker-695_pilon-snap-gene-3.2,,,,,,,,,1,,,,,,1,1,,,,3
ID=evm-315_pilon-processed-gene-14.99;Name=evm-315_pilon-processed-gene-14.99,,,,,,,,,1,1,,,,,1,1,,1,1,6
ID=augustus-315_pilon-processed-gene-14.31;Name=augustus-315_pilon-processed-gene-14.31,,,,,,,,,1,,,,,,1,,,,,2
ID=snap-383_pilon-processed-gene-2.21;Name=snap-383_pilon-processed-gene-2.21,,,,,,,,,1,1,,,,,,1,1,,,4
ID=evm-976_pilon-processed-gene-12.82;Name=evm-976_pilon-processed-gene-12.82,,,,,,,,,1,1,1,,,,1,1,,,,5
ID=snap-976_pilon-processed-gene-18.48;Name=snap-976_pilon-processed-gene-18.48,,,,,,,,,1,1,,,,,1,1,,,,4
ID=evm-360_pilon-processed-gene-74.51;Name=evm-360_pilon-processed-gene-74.51,,,,,,,,,1,1,,,,,,,1,,,3
ID=snap_masked-441_pilon-processed-gene-1.208;Name=snap_masked-441_pilon-processed-gene-1.208,,,,,,,,,1,,,1,1,1,1,1,,,,6
ID=augustus-327_pilon-processed-gene-7.43;Name=augustus-327_pilon-processed-gene-7.43,,,,,,,,,1,,,,,,,,,,,1
ID=augustus-454_pilon-processed-gene-1.55;Name=augustus-454_pilon-processed-gene-1.55,,,,,,,,,1,1,,,,,1,1,,,,4
ID=maker-975_pilon-exonerate_protein2genome-gene-15.15;Name=maker-975_pilon-exonerate_protein2genome-gene-15.15,,,,,,,,,1,1,1,1,1,1,1,1,,1,1,10
ID=maker-754_pilon-augustus-gene-3.48;Name=maker-754_pilon-augustus-gene-3.48,,,,,,,,,1,,,,,,,,,,,1
ID=snap_masked-261_pilon-processed-gene-6.86;Name=snap_masked-261_pilon-processed-gene-6.86,,,,,,,,,1,1,,,,,1,1,,,,4
ID=maker-261_pilon-snap-gene-48.72;Name=maker-261_pilon-snap-gene-48.72,,,,,,,,,1,,,,1,,,,,,,2
ID=snap-261_pilon-processed-gene-48.37;Name=snap-261_pilon-processed-gene-48.37,,,,,,,,,1,,,,,,,,,,,1
ID=augustus-463_pilon-processed-gene-7.72;Name=augustus-463_pilon-processed-gene-7.72,,,,,,,,,1,1,1,,,,1,1,1,1,1,8
ID=snap_masked-768_pilon-processed-gene-3.25;Name=snap_masked-768_pilon-processed-gene-3.25,,,,,,,,,1,,,,,,,,,,,1
ID=maker-358_pilon-augustus-gene-5.63;Name=maker-358_pilon-augustus-gene-5.63,,,,,,,,,1,,,,,,,,,,,1
ID=maker-358_pilon-augustus-gene-31.39;Name=maker-358_pilon-augustus-gene-31.39,,,,,,,,,1,1,,,,,1,1,1,,,5
ID=augustus_masked-262_pilon-processed-gene-45.27;Name=augustus_masked-262_pilon-processed-gene-45.27,,,,,,,,,1,,,,,,1,1,1,,,4
ID=augustus-526_pilon-processed-gene-8.40;Name=augustus-526_pilon-processed-gene-8.40,,,,,,,,,1,1,,,,,1,1,1,,,5
ID=augustus_masked-353_pilon-processed-gene-17.63;Name=augustus_masked-353_pilon-processed-gene-17.63,,,,,,,,,1,,,,,,,,,,,1
ID=snap-353_pilon-processed-gene-51.21;Name=snap-353_pilon-processed-gene-51.21,,,,,,,,,1,,,,,1,,1,,1,1,5
ID=snap_masked-353_pilon-processed-gene-70.15;Name=snap_masked-353_pilon-processed-gene-70.15,,,,,,,,,1,1,,,,,,,,,1,3
ID=maker-353_pilon-snap-gene-96.25;Name=maker-353_pilon-snap-gene-96.25,,,,,,,,,1,,,,1,,1,,,,,3
ID=maker-381_pilon-augustus-gene-0.232;Name=maker-381_pilon-augustus-gene-0.232,,,,,,,,,1,,,,,,,1,,1,,3
ID=snap-381_pilon-processed-gene-10.63;Name=snap-381_pilon-processed-gene-10.63,,,,,,,,,1,,,,,,1,1,,,,3
ID=maker-265_pilon-snap-gene-106.69;Name=maker-265_pilon-snap-gene-106.69,,,,,,,,,1,,,,,,,,,,,1
ID=maker-303_pilon-snap-gene-19.134;Name=maker-303_pilon-snap-gene-19.134,,,,,,,,,1,1,,,,,,,,,,2
ID=maker-723_pilon-augustus-gene-1.49;Name=maker-723_pilon-augustus-gene-1.49,,,,,,,,,1,1,,,,,1,1,,,,4
ID=maker-778_pilon-snap-gene-10.8;Name=maker-778_pilon-snap-gene-10.8,,,,,,,,,1,1,,,,,1,1,,,,4
ID=snap-778_pilon-processed-gene-11.64;Name=snap-778_pilon-processed-gene-11.64,,,,,,,,,1,,1,,,1,,1,,,,4
ID=maker-416_pilon-augustus-gene-1.107;Name=maker-416_pilon-augustus-gene-1.107,,,,,,,,,1,,,,,,,1,,,,2
ID=maker-71765_pilon-snap-gene-0.14;Name=maker-71765_pilon-snap-gene-0.14,,,,,,,,,1,,1,,,,,1,,,,3
ID=snap-356_pilon-processed-gene-11.4;Name=snap-356_pilon-processed-gene-11.4,,,,,,,,,1,,,,,1,1,1,,,,4
ID=maker-916_pilon-augustus-gene-3.192;Name=maker-916_pilon-augustus-gene-3.192,,,,,,,,,1,,,1,,,1,1,,,,4
ID=maker-836_pilon-snap-gene-2.89;Name=maker-836_pilon-snap-gene-2.89,,,,,,,,,1,,,,,,1,1,,,,3
ID=snap-836_pilon-processed-gene-2.51;Name=snap-836_pilon-processed-gene-2.51,,,,,,,,,1,,,,,,1,1,,,,3
ID=maker-384_pilon-snap-gene-3.80;Name=maker-384_pilon-snap-gene-3.80,,,,,,,,,1,,,1,1,,1,1,,,,5
ID=augustus-384_pilon-processed-gene-28.84;Name=augustus-384_pilon-processed-gene-28.84,,,,,,,,,1,,,,,,1,1,,,,3
ID=snap-384_pilon-processed-gene-32.70;Name=snap-384_pilon-processed-gene-32.70,,,,,,,,,1,1,1,,,,1,1,,,,5
ID=maker-384_pilon-exonerate_est2genome-gene-39.95;Name=maker-384_pilon-exonerate_est2genome-gene-39.95,,,,,,,,,1,1,,,,,1,1,,,,4
ID=maker-349_pilon-augustus-gene-6.8;Name=maker-349_pilon-augustus-gene-6.8,,,,,,,,,,1,,,,,,,,1,,2
ID=maker-1014_pilon-exonerate_protein2genome-gene-6.86;Name=maker-1014_pilon-exonerate_protein2genome-gene-6.86,,,,,,,,,,1,,,,1,,,,,,2
ID=maker-923_pilon-snap-gene-14.33;Name=maker-923_pilon-snap-gene-14.33,,,,,,,,,,1,,,,,,1,,,,2
ID=maker-928_pilon-augustus-gene-1.14;Name=maker-928_pilon-augustus-gene-1.14,,,,,,,,,,1,,,,,,,,,,1
ID=augustus-1000_pilon-processed-gene-1.140;Name=augustus-1000_pilon-processed-gene-1.140,,,,,,,,,,1,,,1,,,,,,,2
ID=snap-783_pilon-processed-gene-8.482;Name=snap-783_pilon-processed-gene-8.482,,,,,,,,,,1,,1,1,1,1,1,1,1,1,9
ID=maker-783_pilon-snap-gene-9.38;Name=maker-783_pilon-snap-gene-9.38,,,,,,,,,,1,,1,1,1,1,1,1,1,,8
ID=snap-445_pilon-processed-gene-8.26;Name=snap-445_pilon-processed-gene-8.26,,,,,,,,,,1,,,,,,,,,,1
ID=augustus-445_pilon-processed-gene-58.59;Name=augustus-445_pilon-processed-gene-58.59,,,,,,,,,,1,,,,,,,,1,,2
ID=maker-445_pilon-snap-gene-67.81;Name=maker-445_pilon-snap-gene-67.81,,,,,,,,,,1,,,1,,1,,,1,,4
ID=maker-74629_pilon-exonerate_est2genome-gene-0.5;Name=maker-74629_pilon-exonerate_est2genome-gene-0.5,,,,,,,,,,1,,,,1,,,,,,2
ID=maker-518_pilon-augustus-gene-31.33;Name=maker-518_pilon-augustus-gene-31.33,,,,,,,,,,1,,,,,1,,,,,2
ID=augustus-375_pilon-processed-gene-6.76;Name=augustus-375_pilon-processed-gene-6.76,,,,,,,,,,1,,,,,,,,,,1
ID=maker-438_pilon-snap-gene-5.85;Name=maker-438_pilon-snap-gene-5.85,,,,,,,,,,1,,,,,,,,,,1
ID=snap-372_pilon-processed-gene-5.65;Name=snap-372_pilon-processed-gene-5.65,,,,,,,,,,1,,,,,,,,1,,2
ID=maker-372_pilon-snap-gene-6.2;Name=maker-372_pilon-snap-gene-6.2,,,,,,,,,,1,1,,,,,,,,,2
ID=augustus-875_pilon-processed-gene-2.16;Name=augustus-875_pilon-processed-gene-2.16,,,,,,,,,,1,,,,,,,,,,1
ID=maker-673_pilon-augustus-gene-7.61;Name=maker-673_pilon-augustus-gene-7.61,,,,,,,,,,1,,,,,,,,,,1
ID=maker-450_pilon-exonerate_est2genome-gene-6.63;Name=maker-450_pilon-exonerate_est2genome-gene-6.63,,,,,,,,,,1,,,,,,,,,,1
ID=snap-267_pilon-processed-gene-17.44;Name=snap-267_pilon-processed-gene-17.44,,,,,,,,,,1,,,,,,,,,,1
ID=augustus-770_pilon-processed-gene-14.28;Name=augustus-770_pilon-processed-gene-14.28,,,,,,,,,,1,,1,1,,,,,,,3
ID=maker-348_pilon-augustus-gene-35.47;Name=maker-348_pilon-augustus-gene-35.47,,,,,,,,,,1,,,,,,,,,,1
ID=snap-616_pilon-processed-gene-12.59;Name=snap-616_pilon-processed-gene-12.59,,,,,,,,,,1,,1,,,,,,,,2
ID=snap-414_pilon-processed-gene-13.26;Name=snap-414_pilon-processed-gene-13.26,,,,,,,,,,1,,,,,,,,,,1
ID=maker-70872_pilon-augustus-gene-0.139;Name=maker-70872_pilon-augustus-gene-0.139,,,,,,,,,,1,,1,,,,,,,,2
ID=snap_masked-449_pilon-processed-gene-6.22;Name=snap_masked-449_pilon-processed-gene-6.22,,,,,,,,,,1,,1,1,,,1,1,,,5
ID=snap_masked-449_pilon-processed-gene-6.23;Name=snap_masked-449_pilon-processed-gene-6.23,,,,,,,,,,1,,1,,,,1,,,,3
ID=snap-925_pilon-processed-gene-1.53;Name=snap-925_pilon-processed-gene-1.53,,,,,,,,,,1,,,,,,,,,1,2
ID=maker-598_pilon-augustus-gene-8.97;Name=maker-598_pilon-augustus-gene-8.97,,,,,,,,,,1,,1,1,,,,,,,3
ID=augustus-499_pilon-processed-gene-3.19;Name=augustus-499_pilon-processed-gene-3.19,,,,,,,,,,1,,,,,,,,,,1
ID=augustus-871_pilon-processed-gene-0.5;Name=augustus-871_pilon-processed-gene-0.5,,,,,,,,,,1,,,,,,,,,,1
ID=maker-869_pilon-augustus-gene-1.75;Name=maker-869_pilon-augustus-gene-1.75,,,,,,,,,,1,,,,,,,,,,1
ID=maker-357_pilon-exonerate_est2genome-gene-6.32;Name=maker-357_pilon-exonerate_est2genome-gene-6.32,,,,,,,,,,1,,1,,,,1,,,,3
ID=maker-357_pilon-exonerate_est2genome-gene-6.33;Name=maker-357_pilon-exonerate_est2genome-gene-6.33,,,,,,,,,,1,,,,,,1,,,,2
ID=augustus-315_pilon-processed-gene-14.26;Name=augustus-315_pilon-processed-gene-14.26,,,,,,,,,,1,,,,,,,1,,,2
ID=maker-427_pilon-snap-gene-4.58;Name=maker-427_pilon-snap-gene-4.58,,,,,,,,,,1,,,,,1,,,,,2
ID=augustus-360_pilon-processed-gene-26.62;Name=augustus-360_pilon-processed-gene-26.62,,,,,,,,,,1,,,,,,,,,,1
ID=snap_masked-975_pilon-processed-gene-15.7;Name=snap_masked-975_pilon-processed-gene-15.7,,,,,,,,,,1,1,1,1,1,,,,,,5
ID=snap-637_pilon-processed-gene-18.41;Name=snap-637_pilon-processed-gene-18.41,,,,,,,,,,1,,1,,1,,,,,,3
ID=snap_masked-579_pilon-processed-gene-10.55;Name=snap_masked-579_pilon-processed-gene-10.55,,,,,,,,,,1,,1,,1,,,1,,,4
ID=snap_masked-72844_pilon-processed-gene-4.47;Name=snap_masked-72844_pilon-processed-gene-4.47,,,,,,,,,,1,,1,1,,1,,,,,4
ID=evm-353_pilon-processed-gene-57.50;Name=evm-353_pilon-processed-gene-57.50,,,,,,,,,,1,,,1,,,,,,,2
ID=snap-353_pilon-processed-gene-85.12;Name=snap-353_pilon-processed-gene-85.12,,,,,,,,,,1,,,,1,,,,,,2
ID=maker-516_pilon-snap-gene-8.15;Name=maker-516_pilon-snap-gene-8.15,,,,,,,,,,1,1,1,1,,,,,,,4
ID=snap-265_pilon-processed-gene-1.22;Name=snap-265_pilon-processed-gene-1.22,,,,,,,,,,1,,,,,,,,,,1
ID=snap-265_pilon-processed-gene-53.59;Name=snap-265_pilon-processed-gene-53.59,,,,,,,,,,1,,1,1,,1,1,,,,5
ID=maker-781_pilon-snap-gene-32.33;Name=maker-781_pilon-snap-gene-32.33,,,,,,,,,,1,,,,,,,,,,1
ID=snap-778_pilon-processed-gene-1.36;Name=snap-778_pilon-processed-gene-1.36,,,,,,,,,,1,,,,,,,,,,1
ID=augustus_masked-778_pilon-processed-gene-1.12;Name=augustus_masked-778_pilon-processed-gene-1.12,,,,,,,,,,1,,,,,,,,1,1,3
ID=snap-416_pilon-processed-gene-16.45;Name=snap-416_pilon-processed-gene-16.45,,,,,,,,,,1,,,,,,,1,,,2
ID=maker-416_pilon-snap-gene-16.13;Name=maker-416_pilon-snap-gene-16.13,,,,,,,,,,1,,,,,,,,,,1
ID=maker-71765_pilon-snap-gene-0.13;Name=maker-71765_pilon-snap-gene-0.13,,,,,,,,,,1,,,,,1,1,,,,3
ID=maker-916_pilon-exonerate_protein2genome-gene-3.121;Name=maker-916_pilon-exonerate_protein2genome-gene-3.121,,,,,,,,,,1,,,,,,,,,,1
ID=augustus_masked-836_pilon-processed-gene-2.24;Name=augustus_masked-836_pilon-processed-gene-2.24,,,,,,,,,,1,,,1,,,,1,,,3
ID=augustus_masked-705_pilon-processed-gene-21.32;Name=augustus_masked-705_pilon-processed-gene-21.32,,,,,,,,,,1,1,1,1,1,1,,,,1,7
ID=maker-72280_pilon-augustus-gene-1.37;Name=maker-72280_pilon-augustus-gene-1.37,,,,,,,,,,,1,1,,1,,,,1,,4
ID=augustus-984_pilon-processed-gene-0.55;Name=augustus-984_pilon-processed-gene-0.55,,,,,,,,,,,1,,,1,,,,,,2
ID=augustus_masked-984_pilon-processed-gene-1.61;Name=augustus_masked-984_pilon-processed-gene-1.61,,,,,,,,,,,1,,,1,,,,,,2
ID=snap_masked-984_pilon-processed-gene-2.0;Name=snap_masked-984_pilon-processed-gene-2.0,,,,,,,,,,,1,1,1,,,,,,,3
ID=snap-984_pilon-processed-gene-6.27;Name=snap-984_pilon-processed-gene-6.27,,,,,,,,,,,1,,,,,,,,,1
ID=maker-1014_pilon-augustus-gene-0.26;Name=maker-1014_pilon-augustus-gene-0.26,,,,,,,,,,,1,,,,,,,,,1
ID=augustus_masked-547_pilon-processed-gene-30.2;Name=augustus_masked-547_pilon-processed-gene-30.2,,,,,,,,,,,1,,,,,,,,,1
ID=augustus-380_pilon-processed-gene-16.74;Name=augustus-380_pilon-processed-gene-16.74,,,,,,,,,,,1,,,,,1,,,,2
ID=maker-936_pilon-exonerate_est2genome-gene-0.8;Name=maker-936_pilon-exonerate_est2genome-gene-0.8,,,,,,,,,,,1,,,,,,,,,1
ID=maker-72553_pilon-augustus-gene-2.17;Name=maker-72553_pilon-augustus-gene-2.17,,,,,,,,,,,1,,,,,,,,,1
ID=snap_masked-377_pilon-processed-gene-69.10;Name=snap_masked-377_pilon-processed-gene-69.10,,,,,,,,,,,1,,,,,,,,,1
ID=snap-377_pilon-processed-gene-72.46;Name=snap-377_pilon-processed-gene-72.46,,,,,,,,,,,1,,,,,,,,,1
ID=maker-428_pilon-snap-gene-1.12;Name=maker-428_pilon-snap-gene-1.12,,,,,,,,,,,1,1,1,1,,,,,,4
ID=maker-573_pilon-augustus-gene-2.112;Name=maker-573_pilon-augustus-gene-2.112,,,,,,,,,,,1,,,,,,,,,1
ID=snap-867_pilon-processed-gene-39.0;Name=snap-867_pilon-processed-gene-39.0,,,,,,,,,,,1,,,,,,,,,1
ID=snap-867_pilon-processed-gene-46.30;Name=snap-867_pilon-processed-gene-46.30,,,,,,,,,,,1,,,,,,,,,1
ID=augustus-867_pilon-processed-gene-47.48;Name=augustus-867_pilon-processed-gene-47.48,,,,,,,,,,,1,,,,,,,,,1
ID=maker-1029_pilon-augustus-gene-1.109;Name=maker-1029_pilon-augustus-gene-1.109,,,,,,,,,,,1,,,,1,1,,1,,4
ID=maker-268_pilon-exonerate_est2genome-gene-12.47;Name=maker-268_pilon-exonerate_est2genome-gene-12.47,,,,,,,,,,,1,1,1,,,,,,,3
ID=maker-268_pilon-exonerate_est2genome-gene-26.35;Name=maker-268_pilon-exonerate_est2genome-gene-26.35,,,,,,,,,,,1,,1,,,,,,,2
ID=snap-268_pilon-processed-gene-37.74;Name=snap-268_pilon-processed-gene-37.74,,,,,,,,,,,1,,,,,,,,,1
