tanoak	dnds	GO_annotations	signature_descriptions	interpro_descriptions
maker-772_pilon-augustus-gene-3.0	0.187942299958148	GO:0005789|GO:0016020	ORMDL family	ORMDL family
augustus_masked-772_pilon-processed-gene-10.3	0.446115420082366	GO:0046983	Helix-loop-helix DNA-binding domain, bHLH-MYC and R2R3-MYB transcription factors N-terminal	Myc-type, basic helix-loop-helix (bHLH) domain, Transcription factor MYC/MYB N-terminal
augustus-772_pilon-processed-gene-11.117	0.582420752754295	GO:0016788	GDSL-like Lipase/Acylhydrolase	GDSL lipase/esterase
augustus-772_pilon-processed-gene-11.121	0.115241821228373	GO:0016020	Lung seven transmembrane receptor	Transmembrane protein GPR107/GPR108-like
evm-772_pilon-processed-gene-15.55	0.228129270215457	GO:0004553|GO:0005975	Glycosyl hydrolases family 17	Glycoside hydrolase family 17
snap-772_pilon-processed-gene-17.4	0.415731401819967	GO:0005515	F-box-like	F-box domain
maker-772_pilon-snap-gene-18.27	NA	GO:0003677|GO:0006355	No apical meristem (NAM) protein	NAC domain
maker-772_pilon-augustus-gene-25.1	0.287085748213036	GO:0046983	Helix-loop-helix DNA-binding domain	Myc-type, basic helix-loop-helix (bHLH) domain
augustus_masked-772_pilon-processed-gene-26.37	NA	GO:0003824|GO:0051536	Radical SAM superfamily	Radical SAM
maker-1072_pilon-snap-gene-1.54	0.764221579565566	GO:0008033	RNase P subunit p30	RNase P subunit p30
augustus-107224_pilon-processed-gene-0.11	1.02449012751999	GO:0005515	Leucine rich repeat	Leucine-rich repeat
maker-71922_pilon-augustus-gene-0.3	NA	GO:0003723	RNA recognition motif. (a.k.a. RRM, RBD, or RNP domain)	RNA recognition motif domain
maker-73187_pilon-snap-gene-9.31	0.86671604560987	GO:0043531	NB-ARC domain	NB-ARC
evm-537_pilon-processed-gene-0.30	NA	GO:0016788	PGAP1-like protein	GPI inositol-deacylase PGAP1-like
maker-537_pilon-snap-gene-0.42	0.218383848882816	GO:0016787	alpha/beta hydrolase fold	Alpha/beta hydrolase fold-3
maker-537_pilon-snap-gene-1.66	NA	GO:0004345|GO:0006006|GO:0050661|GO:0016614	Glucose-6-phosphate dehydrogenase, C-terminal domain, Glucose-6-phosphate dehydrogenase, NAD binding domain	Glucose-6-phosphate dehydrogenase, C-terminal, Glucose-6-phosphate dehydrogenase, NAD-binding
maker-537_pilon-snap-gene-1.75	NA	GO:0005515	F-box-like	F-box domain
maker-537_pilon-snap-gene-3.106	0.468259467930659	GO:0005515	Bromodomain, Bromodomain extra-terminal - transcription regulation	Bromodomain, NET domain
maker-74056_pilon-augustus-gene-3.45	0.311324423581692	GO:0015743	Aluminium activated malate transporter	Aluminum-activated malate transporter
maker-74056_pilon-augustus-gene-13.84	0.466406433524827	GO:0009055	Plastocyanin-like domain	Phytocyanin domain
augustus-74056_pilon-processed-gene-23.2	0.497087562511386	GO:0016020|GO:0032977	60Kd inner membrane protein	Membrane  insertase YidC/ALB3/OXA1/COX18
augustus_masked-74056_pilon-processed-gene-27.84	NA	GO:0005524|GO:0016887|GO:0004176|GO:0004222|GO:0006508	ATPase family associated with various cellular activities (AAA), AAA+ lid domain, Peptidase family M41	ATPase, AAA-type, core, AAA ATPase, AAA+ lid domain, Peptidase M41
snap-74056_pilon-processed-gene-28.58	NA	GO:0003677|GO:0006355	DEK C terminal domain, Transcriptional Coactivator p15 (PC4)	DEK, C-terminal, Transcriptional coactivator p15 (PC4), C-terminal
maker-74056_pilon-augustus-gene-32.138	0.627707048579072	GO:0005515	RWP-RK domain, PB1 domain	RWP-RK domain, PB1 domain
maker-74056_pilon-augustus-gene-32.167	0.366283846466607	GO:0000272|GO:0016161	Glycosyl hydrolase family 14	Glycoside hydrolase, family 14
maker-909_pilon-snap-gene-2.80	NA	GO:0016627|GO:0050660	Acyl-CoA dehydrogenase, C-terminal domain, Acyl-CoA dehydrogenase, middle domain, Acyl-CoA dehydrogenase, N-terminal domain	Acyl-CoA dehydrogenase/oxidase C-terminal, Acyl-CoA oxidase/dehydrogenase, middle domain, Acyl-CoA dehydrogenase/oxidase, N-terminal
maker-75007_pilon-augustus-gene-0.6	NA	GO:0017025	Transcription factor TFIIB repeat	Transcription factor TFIIB, cyclin-like domain
maker-449_pilon-augustus-gene-0.69	NA	GO:0006355|GO:0042393	PHD-finger, Alfin	Zinc finger, PHD-finger, Alfin, N-terminal
maker-449_pilon-augustus-gene-3.68	NA	GO:0007034	Snf7	Snf7 family
snap_masked-73063_pilon-processed-gene-0.40	0.365800788239771	GO:0006807	Carbon-nitrogen hydrolase	Carbon-nitrogen hydrolase
evm-457_pilon-processed-gene-2.0	NA	GO:0008171|GO:0046983	O-methyltransferase domain, Dimerisation domain	O-methyltransferase domain, Plant methyltransferase dimerisation
maker-457_pilon-snap-gene-5.103	0.51790071847265	GO:0002161|GO:0005737|GO:0051499|GO:0004601|GO:0006979|GO:0020037	D-Tyr-tRNA(Tyr) deacylase, Peroxidase	D-aminoacyl-tRNA deacylase DTD, Haem peroxidase
evm-457_pilon-processed-gene-6.50	NA	GO:0016788	GDSL-like Lipase/Acylhydrolase	GDSL lipase/esterase
maker-457_pilon-snap-gene-12.49	0.352116638760491	GO:0046983|GO:0008171	Dimerisation domain, O-methyltransferase domain, Protein of unknown function, DUF599	Plant methyltransferase dimerisation, O-methyltransferase domain, Protein of unknown function DUF599
maker-457_pilon-snap-gene-14.59	NA	GO:0003677|GO:0005634|GO:0006355|GO:0009725	Auxin response factor, B3 DNA binding domain	Auxin response factor domain, B3 DNA binding domain
augustus-891_pilon-processed-gene-9.23	0.183487400910938	GO:0000139|GO:0015165|GO:0016020|GO:0090481	Nucleotide-sugar transporter	Nucleotide-sugar transporter
snap_masked-891_pilon-processed-gene-10.2	0.157117186836741	GO:0005515	F-box domain, F-box associated domain	F-box domain, F-box associated domain, type 3
maker-72918_pilon-augustus-gene-0.6	NA	GO:0016020|GO:0016126|GO:0016628	Ergosterol biosynthesis ERG4/ERG24 family	Sterol biosynthesis ERG24/DHCR-like
snap-809_pilon-processed-gene-2.116	1.13544476673083	GO:0004672|GO:0005524|GO:0006468	Protein kinase domain	Protein kinase domain
maker-809_pilon-snap-gene-3.71	NA	GO:0005524|GO:0140658	Helicase conserved C-terminal domain, SNF2-related domain, Zinc finger, C3HC4 type (RING finger)	Helicase, C-terminal, SNF2, N-terminal, -
maker-809_pilon-augustus-gene-3.17	0.762907004214496	GO:0006508|GO:0008234	Ulp1 protease family, C-terminal catalytic domain	Ulp1 protease family, C-terminal catalytic domain
maker-809_pilon-snap-gene-9.32	NA	GO:0005515	WD domain, G-beta repeat	WD40 repeat
evm-809_pilon-processed-gene-11.69	0.60774297018854	GO:0003676|GO:0005524	Helicase conserved C-terminal domain, DEAD/DEAH box helicase, ATP-dependent DNA helicase RecG, domain 3, C-terminal	Helicase, C-terminal, DEAD/DEAH box helicase domain, ATP-dependent DNA helicase RecG, domain 3, C-terminal
maker-809_pilon-snap-gene-14.6	NA	GO:0046872	Heavy-metal-associated domain	Heavy metal-associated domain, HMA
maker-809_pilon-augustus-gene-15.7	NA	GO:0046872	Heavy-metal-associated domain	Heavy metal-associated domain, HMA
augustus-809_pilon-processed-gene-15.72	0	GO:0016020|GO:0016757	Core-2/I-Branching enzyme	Glycosyl transferase, family 14
snap-237559_pilon-processed-gene-0.19	0.435207731043104	GO:0003700|GO:0006355	AP2 domain	AP2/ERF domain
maker-818_pilon-augustus-gene-3.51	NA	GO:0016747	Acetyltransferase (GNAT) family	GNAT domain
maker-818_pilon-snap-gene-3.43	NA	GO:0005198|GO:0006886|GO:0016192|GO:0030130|GO:0030132	Clathrin light chain	Clathrin light chain
maker-602_pilon-augustus-gene-0.10	0.0705639857432206	GO:0005515|GO:0003723|GO:0006396	Ubiquitin family, Surp module, Pre-mRNA splicing factor PRP21 like protein	Ubiquitin-like domain, SWAP/Surp, Splicing factor 3A subunit 1, conserved domain
maker-525_pilon-augustus-gene-0.51	NA	GO:0046034|GO:1902600|GO:0005524	ATP synthase alpha/beta family, beta-barrel domain, ATPsynthase alpha/beta subunit N-term extension, ATP synthase alpha/beta family, nucleotide-binding domain	ATPase, F1/V1/A1 complex, alpha/beta subunit, N-terminal domain, ATPsynthase alpha/beta subunit, N-terminal extension, ATPase, F1/V1/A1 complex, alpha/beta subunit, nucleotide-binding domain
maker-878_pilon-augustus-gene-0.52	0.310690562307718	GO:0016020|GO:0055085	Voltage-dependent anion channel	Transporter protein SLAC1/Mae1/ Ssu1/TehA
maker-878_pilon-snap-gene-6.128	NA	GO:0046872	Heavy-metal-associated domain	Heavy metal-associated domain, HMA
maker-878_pilon-snap-gene-7.82	NA	GO:0016603|GO:0017186	Glutamine cyclotransferase	Glutaminyl-peptide cyclotransferase
augustus_masked-878_pilon-processed-gene-7.63	1.01309263670365	GO:0003677|GO:0046983	SRF-type transcription factor (DNA-binding and dimerisation domain)	Transcription factor, MADS-box
augustus-878_pilon-processed-gene-11.59	NA	GO:0003723|GO:0006364|GO:0008168	Fibrillarin	rRNA 2'-O-methyltransferase fibrillarin-like
maker-359_pilon-snap-gene-6.245	0.713194666063573	GO:0005515	WD domain, G-beta repeat	WD40 repeat
maker-266_pilon-augustus-gene-5.56	NA	GO:0046872	Zinc finger C-x8-C-x5-C-x3-H type (and similar)	Zinc finger, CCCH-type
snap-266_pilon-processed-gene-11.26	0.185809101234969	GO:0070461	Transcriptional regulator of RNA polII, SAGA, subunit	Transcriptional coactivator Hfi1/Transcriptional adapter 1
augustus-266_pilon-processed-gene-15.16	0.583118083804948	GO:0003677|GO:0003916|GO:0005694|GO:0006265	Topoisomerase DNA binding C4 zinc finger, DNA topoisomerase, Toprim domain, Topoisomerase C-terminal repeat	DNA topoisomerase, type IA, zn finger, DNA topoisomerase, type IA, central, TOPRIM  domain, Topoisomerase C-terminal repeat
augustus_masked-266_pilon-processed-gene-17.18	0.169607950744485	GO:0016020|GO:0016757	Glycosyl transferase family 64 domain	Glycosyl transferase 64 domain
snap-266_pilon-processed-gene-17.85	0.163324979275301	GO:0005509	EF-hand domain pair	EF-hand domain
maker-266_pilon-snap-gene-18.8	NA	GO:0003677|GO:0006355	No apical meristem (NAM) protein	NAC domain
maker-266_pilon-augustus-gene-20.32	0.299517235295125	GO:0003676|GO:0005524|GO:0003677|GO:0003887|GO:0006260	Helix-turn-helix domain, Helicase conserved C-terminal domain, DEAD/DEAH box helicase, DNA polymerase family A	DNA polymerase theta-like, helix-turn-helix domain, Helicase, C-terminal, DEAD/DEAH box helicase domain, DNA-directed DNA polymerase, family A, palm domain
augustus-266_pilon-processed-gene-21.40	NA	GO:0004190|GO:0016020	Signal peptide peptidase	Peptidase A22B, signal peptide peptidase
augustus_masked-266_pilon-processed-gene-21.28	0.215693020136897	GO:0005525	50S ribosome-binding GTPase	GTP binding domain
maker-266_pilon-augustus-gene-21.71	NA	GO:0016020	Mpv17 / PMP22 family	Mpv17/PMP22
maker-266_pilon-augustus-gene-22.44	NA	GO:0016020	Sulfite exporter TauE/SafE	Transmembrane protein TauE-like
snap-266_pilon-processed-gene-22.36	NA	GO:0009058|GO:0030170	Aminotransferase class I and II	Aminotransferase, class I/classII
maker-266_pilon-augustus-gene-24.3	0.643588488304695	GO:0015018|GO:0016020	Glycosyltransferase family 43	Glycosyl transferase, family 43
maker-266_pilon-snap-gene-24.33	0.58947383460597	GO:0003885|GO:0016020|GO:0050660	D-arabinono-1,4-lactone oxidase, FAD binding domain	D-arabinono-1,4-lactone oxidase, C-terminal domain, FAD linked oxidase, N-terminal
maker-266_pilon-snap-gene-26.62	0.324067078656814	GO:0008759|GO:0009245	UDP-3-O-acyl N-acetylglycosamine deacetylase, Enolase, C-terminal TIM barrel domain, DnaJ C terminal domain, DnaJ domain	UDP-3-O-acyl N-acetylglucosamine deacetylase, Enolase, C-terminal TIM barrel domain, Chaperone DnaJ, C-terminal, DnaJ domain
augustus_masked-266_pilon-processed-gene-28.48	NA	GO:0000786|GO:0003677|GO:0006334	linker histone H1 and H5 family	Linker histone H1/H5, domain H15
maker-266_pilon-snap-gene-28.34	NA	GO:0009058|GO:0030170	Aminotransferase class I and II	Aminotransferase, class I/classII
augustus-266_pilon-processed-gene-31.12	NA	GO:0003676|GO:0005524	DEAD/DEAH box helicase, Helicase conserved C-terminal domain	DEAD/DEAH box helicase domain, Helicase, C-terminal
maker-266_pilon-snap-gene-31.53	NA	GO:0003723	RNA recognition motif. (a.k.a. RRM, RBD, or RNP domain), NADH:ubiquinone oxidoreductase, NDUFS5-15kDa	RNA recognition motif domain, NADH:ubiquinone oxidoreductase, iron-sulphur subunit 5
maker-266_pilon-snap-gene-33.114	NA	GO:0043015	Gamma tubulin complex component N-terminal, Gamma tubulin complex component C-terminal	Gamma tubulin complex component protein, N-terminal, Gamma tubulin complex component, C-terminal
evm-266_pilon-processed-gene-33.61	NA	GO:0003950	Poly(ADP-ribose) polymerase, regulatory domain, WGR domain, Poly(ADP-ribose) polymerase catalytic domain	Poly(ADP-ribose) polymerase, regulatory domain, WGR domain, Poly(ADP-ribose) polymerase, catalytic domain
maker-266_pilon-snap-gene-36.77	0.515183216159916	GO:0030599|GO:0042545|GO:0004857	Pectinesterase, Plant invertase/pectin methylesterase inhibitor	Pectinesterase, catalytic, Pectinesterase inhibitor domain
maker-266_pilon-snap-gene-37.68	NA	GO:0015969	Region found in RelA / SpoT proteins, HD domain, TGS domain	RelA/SpoT, -, TGS
snap-266_pilon-processed-gene-38.90	1.05719857369529	GO:0003700|GO:0006355	AP2 domain	AP2/ERF domain
maker-266_pilon-augustus-gene-38.61	0.13284940187769	GO:0003735|GO:0005840|GO:0006412	Ribosomal protein L19e	Ribosomal protein L19/L19e
snap-266_pilon-processed-gene-39.103	NA	GO:0006952	Pathogenesis-related protein Bet v 1 family	Bet v I/Major latex protein
maker-266_pilon-snap-gene-39.44	NA	GO:0006952	Pathogenesis-related protein Bet v 1 family	Bet v I/Major latex protein
maker-266_pilon-snap-gene-45.128	NA	GO:0004672|GO:0005524|GO:0006468	Protein kinase domain	Protein kinase domain
maker-266_pilon-snap-gene-45.152	NA	GO:0005515	WD domain, G-beta repeat	WD40 repeat
maker-266_pilon-augustus-gene-49.3	0.125571907398459	GO:0051536	2Fe-2S iron-sulfur cluster binding domain, Histone-like transcription factor (CBF/NF-Y) and archaeal histone	2Fe-2S ferredoxin-type iron-sulfur binding domain, Transcription factor CBF/NF-Y/archaeal histone domain
maker-266_pilon-snap-gene-51.58	NA	GO:0004553|GO:0005975	X8 domain, Glycosyl hydrolases family 17	X8 domain, Glycoside hydrolase family 17
augustus_masked-266_pilon-abinit-gene-55.74	NA	GO:0005509|GO:0009523|GO:0009654|GO:0015979|GO:0019898	PsbP	PsbP, C-terminal
maker-266_pilon-augustus-gene-59.278	NA	GO:0016747	Acetyltransferase (GNAT) family	GNAT domain
maker-266_pilon-augustus-gene-60.4	0.0434971497547631	GO:0003677|GO:0003824|GO:0005524|GO:0005694|GO:0006259	Type IIB DNA topoisomerase	Spo11/DNA topoisomerase VI, subunit A, N-terminal
maker-266_pilon-snap-gene-60.90	NA	GO:0003700|GO:0006355|GO:0043565	WRKY DNA -binding domain	WRKY domain
augustus-266_pilon-processed-gene-61.8	NA	GO:0004222|GO:0006508	Peptidase family M48, CAAX prenyl protease N-terminal, five membrane helices	Peptidase M48, CAAX prenyl protease 1, N-terminal
maker-266_pilon-snap-gene-61.27	NA	GO:0005506|GO:0008610|GO:0016491	Fatty acid hydroxylase	Fatty acid hydroxylase
evm-266_pilon-processed-gene-64.22	NA	GO:0016020	Protein of unknown function (DUF3522)	NGX6/PGAP6/MYMK
maker-266_pilon-augustus-gene-66.40	NA	GO:0008237|GO:0008270	Domain of unknown function (DUF3458_C) ARM repeats, Peptidase family M1 domain, Peptidase M1 N-terminal domain, Domain of unknown function (DUF3458) Ig-like fold	Peptidase M1, alanyl aminopeptidase, C-terminal, Peptidase M1, membrane alanine aminopeptidase, Aminopeptidase N-like , N-terminal domain, Peptidase M1, alanyl aminopeptidase, Ig-like fold
augustus-266_pilon-processed-gene-66.87	0.132667859614347	GO:0051260	BTB/POZ domain	Potassium channel tetramerisation-type BTB domain
maker-266_pilon-snap-gene-67.66	0.388842059561693	GO:0004190|GO:0016020	PA domain, Signal peptide peptidase	PA domain, Peptidase A22B, signal peptide peptidase
maker-266_pilon-augustus-gene-68.103	NA	GO:0003922|GO:0005524|GO:0006164|GO:0006177	tRNA methyl transferase HUP domain, Glutamine amidotransferase class-I, GMP synthase C terminal domain	-, Glutamine amidotransferase, GMP synthase, C-terminal
maker-266_pilon-snap-gene-68.68	0.337121246134041	GO:0000166|GO:0004812|GO:0005524|GO:0006418	tRNA synthetases class I (W and Y)	Aminoacyl-tRNA synthetase, class Ic
evm-266_pilon-processed-gene-70.86	0.306318725942134	GO:0004357|GO:0042398	Glutamate-cysteine ligase family 2(GCS2)	Glutamate--cysteine ligase, GCS2
maker-266_pilon-augustus-gene-77.129	0.0525138769106492	GO:0004672|GO:0006468	Protein tyrosine and serine/threonine kinase	Serine-threonine/tyrosine-protein kinase, catalytic domain
maker-266_pilon-augustus-gene-77.193	0.358768342444553	GO:0006415|GO:0003747	PCRF domain, RF-1 domain	Peptide chain release factor, Peptide chain release factor class I
augustus-266_pilon-processed-gene-78.44	0.575673972885017	GO:0005509	Ion channel, EF hand	Potassium channel domain, EF-hand domain
maker-266_pilon-augustus-gene-80.135	2.13971417083465	GO:0016020|GO:0017038|GO:0005524	SecA preprotein cross-linking domain, SecA DEAD-like domain, SecA Wing and Scaffold domain	SecA, preprotein cross-linking domain, SecA DEAD-like, N-terminal, SecA Wing/Scaffold
maker-266_pilon-snap-gene-80.56	0.218477306269753	GO:0016409	DHHC palmitoyltransferase	Palmitoyltransferase, DHHC domain
maker-266_pilon-augustus-gene-84.73	0.212338574922478	GO:0003677|GO:0005634|GO:0006355|GO:0009725	Auxin response factor, B3 DNA binding domain	Auxin response factor domain, B3 DNA binding domain
augustus-266_pilon-processed-gene-86.10	NA	GO:0009058|GO:0030170	Aminotransferase class I and II	Aminotransferase, class I/classII
maker-266_pilon-augustus-gene-88.0	NA	GO:0046872	Heavy-metal-associated domain	Heavy metal-associated domain, HMA
maker-266_pilon-snap-gene-88.19	0.577445970506182	GO:0003677|GO:0046983	SRF-type transcription factor (DNA-binding and dimerisation domain)	Transcription factor, MADS-box
augustus_masked-266_pilon-processed-gene-92.8	NA	GO:0005515	WD domain, G-beta repeat	WD40 repeat
maker-266_pilon-augustus-gene-95.40	2.50834972462644	GO:0003723	RNA recognition motif. (a.k.a. RRM, RBD, or RNP domain)	RNA recognition motif domain
maker-266_pilon-snap-gene-96.53	Inf	GO:0005787|GO:0006465|GO:0016020	Microsomal signal peptidase 12 kDa subunit (SPC12)	Signal peptidase complex subunit 1
snap_masked-266_pilon-processed-gene-101.2	0.345606380149127	GO:0019211	Phosphotyrosyl phosphate activator (PTPA) protein	Phosphotyrosyl phosphatase activator, PTPA
maker-266_pilon-augustus-gene-101.73	NA	GO:0005515	F-box-like, Cupin-like domain	F-box domain, Cupin-like domain 8
maker-266_pilon-augustus-gene-103.113	0.330649975223238	GO:0005515	Ankyrin repeats (many copies)	Ankyrin repeat
maker-266_pilon-snap-gene-104.45	NA	GO:0016020	Mpv17 / PMP22 family	Mpv17/PMP22
maker-266_pilon-augustus-gene-107.76	NA	GO:0005515	WD domain, G-beta repeat	WD40 repeat
evm-266_pilon-processed-gene-110.47	0.388117912925042	GO:0004185|GO:0006508	Serine carboxypeptidase	Peptidase S10, serine carboxypeptidase
maker-266_pilon-snap-gene-111.64	NA	GO:0006629|GO:0008374	Lecithin:cholesterol acyltransferase	Lecithin:cholesterol/phospholipid:diacylglycerol acyltransferase
maker-266_pilon-augustus-gene-114.1	0.384732568604513	GO:0016787	alpha/beta hydrolase fold	Alpha/beta hydrolase fold-3
snap_masked-266_pilon-processed-gene-114.75	0.354576055581668	GO:0004672|GO:0005524|GO:0006468	Protein kinase domain	Protein kinase domain
snap_masked-266_pilon-processed-gene-116.49	0.335235220931857	GO:0006633|GO:0016020|GO:0016747	3-Oxoacyl-[acyl-carrier-protein (ACP)] synthase III C terminal, FAE1/Type III polyketide synthase-like protein	Beta-ketoacyl-[acyl-carrier-protein] synthase III, C-terminal, FAE1/Type III polyketide synthase-like protein
maker-266_pilon-snap-gene-117.124	0.440396573061905	GO:0004222|GO:0006508	Peptidase family M48	Peptidase M48
maker-69620_pilon-snap-gene-0.17	NA	GO:0003700|GO:0006355	AP2 domain	AP2/ERF domain
maker-70251_pilon-snap-gene-0.127	0.264473864993275	GO:0016747	Thiolase, C-terminal domain, Thiolase, N-terminal domain	Thiolase, C-terminal, Thiolase, N-terminal
maker-73992_pilon-snap-gene-0.38	0.0491494945350927	GO:0003735|GO:0005840|GO:0006412|GO:0019843	Ribosomal protein L6	Ribosomal protein L6, alpha-beta domain
maker-73992_pilon-snap-gene-0.64	0.641781817451293	GO:0016020	EamA-like transporter family	EamA domain
maker-1012_pilon-snap-gene-1.85	NA	GO:0003735|GO:0005840|GO:0006412	Ribosomal L18 of archaea, bacteria, mitoch. and chloroplast	Ribosomal protein L18
evm-72598_pilon-processed-gene-1.0	NA	GO:0003677|GO:0005634|GO:0006367|GO:0032968	Transcription initiation factor IIF, alpha subunit (TFIIF-alpha)	Transcription initiation factor IIF, alpha subunit
maker-668_pilon-snap-gene-0.11	NA	GO:0003824	HpcH/HpaI aldolase/citrate lyase family	HpcH/HpaI aldolase/citrate lyase domain
augustus-193886_pilon-processed-gene-0.1	0.446179187172511	GO:0003676|GO:0004523	Reverse transcriptase-like	Ribonuclease H domain
maker-592_pilon-augustus-gene-7.14	0.674410217197504	GO:0005506	Beta-carotene isomerase D27-like, C-terminal	Beta-carotene isomerase D27-like, C-terminal
maker-592_pilon-snap-gene-7.106	0.178011039592518	GO:0003677	Core histone H2A/H2B/H3/H4, C-terminus of histone H2A	Histone H2A/H2B/H3, Histone H2A, C-terminal domain
maker-592_pilon-snap-gene-10.80	NA	GO:0016491	Pyridine nucleotide-disulphide oxidoreductase, Pyridine nucleotide-disulphide oxidoreductase, dimerisation domain	FAD/NAD(P)-binding domain, Pyridine nucleotide-disulphide oxidoreductase, dimerisation domain
maker-592_pilon-snap-gene-10.84	NA	GO:0016757	Glycosyl transferase family 8	Glycosyl transferase, family 8
maker-592_pilon-augustus-gene-12.190	0.545442124051853	GO:0005515	Kelch motif	Kelch repeat type 1
maker-93029_pilon-augustus-gene-0.6	0.721220247854845	GO:0005047|GO:0005786|GO:0006614|GO:0008312|GO:0030942	RNA-binding signal recognition particle 68	Signal recognition particle subunit SRP68
augustus-61580_pilon-processed-gene-0.2	0.847629480295365	GO:0004842|GO:0016567|GO:0004672|GO:0006468	U-box domain, Protein tyrosine and serine/threonine kinase	U-box domain, Serine-threonine/tyrosine-protein kinase, catalytic domain
maker-437_pilon-snap-gene-0.10	NA	GO:0005515|GO:0008017	Calponin homology (CH) domain, EB1-like C-terminal motif	Calponin homology domain, EB1, C-terminal
maker-437_pilon-snap-gene-6.100	NA	GO:0005515	Tetratricopeptide repeat	-, Tetratricopeptide repeat
maker-437_pilon-augustus-gene-11.49	0.227380052293722	GO:0004672|GO:0005524|GO:0006468	Protein kinase domain	Protein kinase domain
maker-437_pilon-augustus-gene-14.2	0.252272865740563	GO:0005515	TAZ zinc finger, BTB/POZ domain	Zinc finger, TAZ-type, BTB/POZ domain
maker-437_pilon-augustus-gene-15.0	NA	GO:0005741|GO:0055085	Eukaryotic porin	Eukaryotic porin/Tom40
evm-437_pilon-processed-gene-16.53	NA	GO:0000413|GO:0003755	Cyclophilin type peptidyl-prolyl cis-trans isomerase/CLD	Cyclophilin-type peptidyl-prolyl cis-trans isomerase domain
augustus_masked-437_pilon-processed-gene-17.41	0.322620551471368	GO:0000786|GO:0003677|GO:0006334	linker histone H1 and H5 family	Linker histone H1/H5, domain H15
augustus-437_pilon-processed-gene-18.58	0.234835991592953	GO:0016020|GO:0016757	galactosyl transferase GMA12/MNN10 family	Glycosyltransferase 34
augustus_masked-437_pilon-processed-gene-23.52	0.638913687381493	GO:0003723	RNA recognition motif. (a.k.a. RRM, RBD, or RNP domain)	RNA recognition motif domain
evm-437_pilon-processed-gene-28.13	NA	GO:0003824	Amino-transferase class IV	Aminotransferase class IV
snap-437_pilon-processed-gene-29.34	NA	GO:0004553|GO:0005975|GO:0005618|GO:0006073|GO:0016762|GO:0048046	Glycosyl hydrolases family 16, Xyloglucan endo-transglycosylase (XET) C-terminus	Glycoside hydrolase family 16, Xyloglucan endo-transglycosylase, C-terminal
snap-437_pilon-processed-gene-39.20	0.501958814719301	GO:0016020|GO:0140359	ABC-2 type transporter	ABC-2 type transporter
maker-437_pilon-snap-gene-41.131	1.63878286902095	GO:0003700|GO:0005634|GO:0006355	K-box region	Transcription factor, K-box
snap-598_pilon-processed-gene-5.84	0.953553566066727	GO:0004601|GO:0006979|GO:0020037	Peroxidase	Haem peroxidase
augustus-598_pilon-processed-gene-9.222	0.13758094375891	GO:0005515	WD domain, G-beta repeat	WD40 repeat
augustus_masked-598_pilon-processed-gene-9.206	NA	GO:0003924|GO:0005525	Elongation factor Tu GTP binding domain, Elongation factor Tu domain 2, Initiation factor eIF2 gamma, C terminal	Translational (tr)-type GTP-binding domain, Translation elongation factor EFTu-like, domain 2, Initiation factor eIF2 gamma, C-terminal
maker-69096_pilon-snap-gene-0.18	NA	GO:0030247	Wall-associated receptor kinase galacturonan-binding	Wall-associated receptor kinase, galacturonan-binding domain
augustus_masked-499_pilon-processed-gene-4.4	0.908622749687704	GO:0005515	Kelch motif, F-box domain	Kelch repeat type 1, F-box domain
snap_masked-499_pilon-processed-gene-5.13	NA	GO:0004553|GO:0005975	Glycosyl hydrolases family 17	Glycoside hydrolase family 17
maker-949_pilon-augustus-gene-0.6	NA	GO:0017183|GO:0090560	Putative diphthamide synthesis protein	Diphthamide synthesis DPH1/DPH2
maker-945_pilon-augustus-gene-0.83	NA	GO:0006351|GO:0046983	RNA polymerase Rpb3/Rpb11 dimerisation domain	DNA-directed RNA polymerase, RBP11-like dimerisation domain
maker-945_pilon-snap-gene-0.43	0.450218159870579	GO:0003755	FKBP-type peptidyl-prolyl cis-trans isomerase	FKBP-type peptidyl-prolyl cis-trans isomerase domain
augustus_masked-945_pilon-processed-gene-2.4	0.499679309982453	GO:0016491	Flavin containing amine oxidoreductase	Amine oxidase
augustus-71473_pilon-processed-gene-0.3	1.24615520880278	GO:0048544|GO:0004672|GO:0005524|GO:0006468	D-mannose binding lectin, S-locus glycoprotein domain, Protein kinase domain	Bulb-type lectin domain, S-locus glycoprotein domain, Protein kinase domain
maker-440_pilon-snap-gene-0.50	NA	GO:0006284|GO:0008725	Methyladenine glycosylase	Methyladenine glycosylase
evm-440_pilon-processed-gene-1.57	NA	GO:0006606	TPR/MLP1/MLP2-like protein	Nucleoprotein TPR/MLP1
augustus-869_pilon-processed-gene-0.17	0.75282911457676	GO:0005515	Leucine Rich repeat	Leucine-rich repeat
evm-72771_pilon-processed-gene-0.0	NA	GO:0004601|GO:0006979|GO:0020037	Peroxidase	Haem peroxidase
maker-71860_pilon-snap-gene-0.0	0.55212434460067	GO:0006508|GO:0008236	Fibronectin type-III domain, PA domain, Subtilase family	Subtilisin-like protease, fibronectin type-III domain, PA domain, Peptidase S8/S53 domain
augustus_masked-902_pilon-processed-gene-1.112	0.177654069945261	GO:0005509	EF-hand domain pair	EF-hand domain
maker-575_pilon-snap-gene-8.11	0.570067762210074	GO:0004672|GO:0005524|GO:0006468	Protein kinase domain	Protein kinase domain
